topic,"Co-Designing Celo’s Cultural Manifesto"
url,http://pol.is/9beed8nszd
voters,42
voters-in-conv,32
commenters,27
comments,69
groups,2
conversation-description,"Help shape Celo's future! Take our community poll today to define the cultural values that will guide Celo as we transition to an Ethereum L2 solution. Your voice is crucial in establishing our principles around inclusion, sustainability, and innovation—join us in creating a manifesto that truly represents our global community."
