topic,"Ethereum's Values"
url,http://pol.is/2hdcecwjyc
voters,7
voters-in-conv,7
commenters,3
comments,9
groups,1
conversation-description,"Welcome to our Pol.is survey on Ethereum's values. These statements come from the ""Leading Through Subtraction"" presentation by representatives from the Ethereum Foundation and Internet Archive. Please indicate your level of agreement with each statement to help us understand how these values resonate within our community.
"
